"","Year","predict_10.mean","X95.","X95..1"
"1",1986,1688.82694625816,1298.9408102161,2078.71308230023
"2",1987,1700.46936573076,1279.67042128247,2121.26831017904
"3",1988,1712.11178520335,1262.52052169863,2161.70304870806
"4",1989,1723.75420467594,1247.10668628237,2200.4017230695
"5",1990,1735.39662414853,1233.14826988371,2237.64497841334
"6",1991,1747.03904362112,1220.43296510256,2273.64512213968
"7",1992,1758.68146309371,1208.79555265076,2308.56737353666
"8",1993,1770.3238825663,1198.10446042594,2342.54330470666
"9",1994,1781.96630203889,1188.2528866223,2375.67971745547
"10",1995,1793.60872151148,1179.15272453806,2408.0647184849
