"","Index","forecast_result.mean","X99.","X99..1"
"1",1,927.428228772491,619.212595626161,1235.64386191882
"2",2,900.946777071276,550.177350813193,1251.71620332936
"3",3,901.217520898024,549.170884869816,1253.26415692623
"4",4,899.635743848801,547.407713662813,1251.86377403479
"5",5,896.913308746305,542.722787659053,1251.10382983356
"6",6,893.526792898848,535.412085022746,1251.64150077495
"7",7,889.793076188124,526.413453341808,1253.17269903444
"8",8,885.92078988079,516.623986097571,1255.21759366401
"9",9,882.045325287749,506.706708881638,1257.38394169386
"10",10,878.252646463954,497.088196458538,1259.41709646937
"11",11,874.595478939924,488.012474052129,1261.17848382772
"12",12,871.104307441958,479.598626170587,1262.60998871333
