"","Index","X95.","forecast_result.mean","X95..1"
"1",1,1012.35516600986,1354.00377976133,1695.65239351281
"2",2,743.084087313646,1324.34974436776,1905.61540142188
"3",3,483.138027233532,1300.6265071759,2118.11498711826
"4",4,230.146607339294,1281.64791032079,2333.14921330229
"5",5,-16.3070410505375,1266.46502715541,2549.23709536136
"6",6,-256.914588154121,1254.31871607808,2765.55202031027
"7",7,-492.723861244049,1244.60166358017,2981.9271884044
"8",8,-724.998416204965,1236.82801867303,3198.65445355102
"9",9,-955.09197981346,1230.60910042025,3416.31018065396
"10",10,-1184.36425464005,1225.63396395638,3635.63218255281
"11",11,-1414.13127154352,1221.65385329596,3857.43897813545
"12",12,-1645.64004642263,1218.46976357617,4082.57957357497
