"","x"
"0",1
"1",0.6
"2",0.36
"3",0.216
"4",0.1296
"5",0.07776
"6",0.046656
"7",0.0279936
"8",0.01679616
"9",0.010077696
"10",0.0060466176
"11",0.00362797056
"12",0.002176782336
"13",0.0013060694016
"14",0.00078364164096
"15",0.000470184984576
"16",0.0002821109907456
"17",0.00016926659444736
"18",0.000101559956668416
"19",6.09359740010496e-05
"20",3.65615844006297e-05
"21",2.19369506403778e-05
"22",1.31621703842267e-05
"23",7.89730223053602e-06
"24",4.73838133832161e-06
"25",2.84302880299297e-06
"26",1.70581728179578e-06
"27",1.02349036907747e-06
"28",6.14094221446481e-07
"29",3.68456532867889e-07
"30",2.21073919720733e-07
"31",1.3264435183244e-07
"32",7.95866110994639e-08
"33",4.77519666596784e-08
"34",2.8651179995807e-08
"35",1.71907079974842e-08
"36",1.03144247984905e-08
"37",6.18865487909431e-09
"38",3.71319292745659e-09
"39",2.22791575647395e-09
"40",1.33674945388437e-09
"41",8.02049672330623e-10
"42",4.81229803398374e-10
"43",2.88737882039024e-10
"44",1.73242729223415e-10
"45",1.03945637534049e-10
"46",6.23673825204292e-11
"47",3.74204295122575e-11
"48",2.24522577073545e-11
"49",1.34713546244127e-11
"50",8.08281277464763e-12
