"","x"
"0",1
"1",0.8
"2",0.73
"3",0.638
"4",0.5653
"5",0.49868
"6",0.440533
"7",0.3889898
"8",0.34352713
"9",0.303363728
"10",0.2679000193
"11",0.23658094358
"12",0.208923570973
"13",0.1844993784788
"14",0.16293051983053
"15",0.143883156518018
"16",0.127062523868443
"17",0.112208303450571
"18",0.0990906130374531
"19",0.0875064436851145
"20",0.077276519470432
"21",0.0682425226035378
"22",0.0602646434297307
"23",0.0532194167087229
"24",0.0469978108826664
"25",0.0415035407067805
"26",0.0366515771447349
"27",0.0323668314635361
"28",0.0285829931643054
"29",0.0252415037644673
"30",0.0222906505497567
"31",0.0196847662709708
"32",0.0173835224000217
"33",0.0153513050077557
"34",0.0135566636046588
"35",0.0119718244147342
"36",0.0105722605500052
"37",0.00933631243368671
"38",0.00824485259771334
"39",0.00728098966704968
"40",0.00642980694965814
"41",0.0056781315865573
"42",0.00501433068934892
"43",0.00442813131024868
"44",0.00391046145848644
"45",0.00345330970265403
"46",0.00304960118621403
"47",0.00269308813739192
"48",0.00237825317898866
"49",0.00210022394174118
"50",0.00185469765979187
