Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,"1,372","1,439","1,499","1,399","1,340","1,018","1,121","1,411","1,560","1,492","1,578","1,709"
2002,"1,627","1,457","1,536","1,560","1,575","1,431","1,567","1,267","1,421","1,619","1,531","1,592"
2003,"1,617","1,445","1,598","1,464","1,482","1,514","1,406","1,520","1,560","1,578","1,574","1,550"
2004,"1,560","1,335","1,626","1,645","1,685","1,617","1,715","1,471","1,607","1,726","1,543","1,731"
2005,"1,577","1,536","1,632","1,605","1,568","1,541","1,518","1,591","1,459","1,536","1,485","1,470"
2006,"1,459","1,351","1,471","1,330","1,518","1,377","1,547","1,364","1,086","1,456","1,429","1,450"
2007,"1,266","1,194","1,290","1,256","1,290","1,258","1,240","1,340","1,159","1,382","1,264","1,231"
2008,"1,255","1,024","1,242","1,101","1,275","1,138","1,268","1,141","1,085","1,196","1,155","1,156"
2009,"1,201","1,067","1,140","1,110","1,081","1,066","1,112","1,061","1,129","1,051",925,959
2010,"1,095",937,"1,014","1,116","1,061",906,"1,110",710,"1,014","1,080","1,009","1,106"
2011,987,791,964,925,"1,090",872,937,906,861,859,930,818
2012,826,830,854,867,866,860,853,820,724,824,819,838
2013,787,752,808,764,756,682,741,679,635,720,687,671
2014,675,637,691,659,--,--,--,--,--,--,--,--
