Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits,Sales,Permits
42,43.3,35,43.4,44,63.8,52,82.1,58,78.8,48,71,62,72.8,56,68.1,49,65.4,44,69.7,39,51,31,40.8
39,42.7,46,48.5,53,67.6,49,73.1,52,70.9,53,72.3,54,68.2,56,61.1,48,61.9,45,60.8,37,50.8,33,42.2
38,39.2,44,41.4,53,65.6,49,73.2,54,69.3,57,71.3,51,64.9,58,64.6,48,60.3,44,61.5,42,54,37,44.5
42,39.1,43,38.1,53,69.6,49,66.2,49,60.5,40,58.8,40,47.3,36,46.9,29,40.2,31,36.9,26,32.7,23,27.1
29,31.5,32,34.2,41,56,44,59.2,49,67.6,47,68.5,46,58.1,47,64.7,43,57.6,45,61.2,34,51.6,31,40.2
35,38.9,43,44.7,46,61.4,46,72,43,70.7,41,60.2,44,64.3,47,62.2,41,60.8,40,65,32,51.9,32,42.5
34,39.8,40,42.5,43,58.5,42,69.7,43,64.5,44,61.7,39,55.2,40,50.3,33,51.3,32,53.5,31,40.1,28,38.8
34,27.7,29,34.4,36,50.8,42,63.5,43,58.3,44,62.7,44,59.6,48,58.3,45,60.9,44,62.2,40,51.3,37,57.1
45,44.1,49,48.1,62,78.8,62,89.6,58,90.2,59,93.2,64,86,62,82.7,50,78.1,52,76,50,73.3,44,65.9
51,61.8,56,64.8,60,94.2,65,95,64,103.2,63,104.1,63,89.1,72,101.1,61,84.6,65,98.1,51,76.5,47,60.8
55,64.9,60,66.2,68,91.6,63,94.9,65,102.2,61,92,54,82.6,52,78,46,61.7,42,60.4,37,49.9,30,37.8
37,38.7,44,44.8,55,66.5,53,76.8,58,73.3,50,63.7,48,61.7,45,56.6,41,46.9,34,48.2,30,36.4,24,30.3
29,29.8,34,32.5,44,45.5,54,65.2,57,68.2,51,68.4,51,69.5,53,63.8,46,65.5,46,68,46,51.5,39,47.6
41,46.3,53,53.6,55,81.4,62,87.3,55,81.3,56,89.1,57,82.5,59,80.6,58,78.5,55,77.4,49,73.8,47,61.8
57,52.6,68,67.2,84,110.5,81,108.2,78,112.4,74,117.2,64,99.7,74,110.1,71,97.2,63,94.9,55,87.6,51,68.4
57,62.9,63,67.9,75,110.1,85,119.7,80,124.3,77,130.4,68,100.9,72,107.3,68,96.6,70,104,53,87.5,50,71
53,54.9,58,56.4,73,101.5,72,102.2,68,110,63,100.8,64,93,68,97.1,60,79.4,54,83.3,41,57.7,35,45.1
43,45.2,44,47,44,49.1,36,48.4,44,49.6,50,61.2,55,74.6,61,75.3,50,80.2,46,76.3,39,55.3,33,48.2
37,39.6,40,42.9,49,61.2,44,69.3,45,61,38,56.3,36,52.6,34,45.2,28,41.8,29,35.6,27,29.2,29,29.6
28,25.4,29,27.9,36,44,32,46.6,36,45.8,34,50.6,31,46.8,36,47.6,39,52.4,40,55.5,39,54.8,33,48.9
44,48.5,46,50.9,57,79.2,59,81.6,64,93,59,101.2,51,82.3,50,85.9,48,77.8,51,76.5,45,68.3,48,56.5
52,60.2,58,72.6,63,88.6,61,92.3,59,98.2,58,90.3,52,79.1,48,80.7,53,70.8,55,75.8,42,62.7,38,51.2
