"","x"
"1",0.00285099857450107
"2",-0.179000000000771
"3",0.0829999999999997
"4",-0.0339999999999998
"5",0.225
"6",0.0899999999999999
"7",-0.754
"8",-0.0699999999999998
"9",0.71
"10",1.379
"11",1.463
"12",1.368
"13",-4.591
"14",-0.0660000000000003
"15",0.556
"16",0.235
"17",0.51
"18",-0.546
"19",-0.202
"20",-1.269
"21",1.836
"22",0.879
"23",2.364
"24",1.519
"25",-5.244
"26",-0.107
"27",1.041
"28",-0.524
"29",0.414
"30",0.0490000000000004
"31",-0.726
"32",-1.687
"33",1.955
"34",1.683
"35",2.403
"36",1.64
"37",-3.879
"38",-2.287
"39",0.63
"40",0.796
"41",0.00599999999999934
"42",0.0190000000000001
"43",-0.876
"44",-2.02
"45",3.096
"46",0.689
"47",2.886
"48",2.337
"49",-7.018
"50",0.659
"51",-0.138
"52",-0.0329999999999995
"53",0.526
"54",0.106
"55",-0.788
"56",-2.242
"57",3.325
"58",1.874
"59",2.936
"60",1.473
"61",-7.315
"62",-0.0590000000000002
"63",0.553
"64",-0.234
"65",0.692
"66",-0.291
"67",-1.154
"68",-1.702
"69",3.401
"70",1.651
"71",3.93
"72",3.113
"73",-11.277
"74",0.260000000000001
"75",0.471
"76",0.37
"77",-0.813
"78",1.059
"79",0.230999999999999
"80",-2.479
"81",3.483
"82",1.203
"83",3.418
"84",3.234
