"","x"
"1",0.0958082978665731
"2",-8.93474055642011
"3",-0.639322148659759
"4",1.52988984702893
"5",2.06525944357989
"6",3.33294424185537
"7",3.60062904013084
"8",-3.76552856073142
"9",-2.20242535469559
"10",2.16373224616667
"11",-0.300898157282373
"12",-0.934740556420112
"13",-0.56858295555785
"14",-2.56858295555785
"15",-0.836267753833327
"16",-2.20242535469559
"17",2.16373224616667
"18",-1.30089815728237
"19",-2.56858295555785
"20",2.16373224616667
"21",1.69910184271763
"22",0.332944241855365
"23",7.69910184271763
"24",-1.8640013633182
"25",3.69910184271763
"26",0.600629040130843
"27",-2.66705575814463
"28",4.79757464530441
"29",6.60062904013084
"30",-2.8640013633182
"31",-0.934740556420112
"32",1.43141704444215
"33",-0.300898157282373
"34",5.06525944357989
"35",-0.765528560731419
"36",-9.30089815728237
"37",-8.63932214865976
"38",-1.54084934607297
"39",-2.73779495124654
"40",6.8960474478912
"41",-4.76552856073142
"42",7.16373224616667
"43",1.86831383840632
"44",-1.39937095986916
"45",-3.93474055642011
"46",-0.470110152971066
"47",1.79757464530441
"48",-0.300898157282373
"49",-0.934740556420112
"50",3.43141704444215
