Week,Percentage
1,0
2,0.73
3,1.1
4,0.42
5,0.53
6,0.28
7,0.36
8,0.91
9,1.65
10,1.53
11,3.18
12,7.13
13,12.6
14,17.95
15,19.3
16,20.92
17,25.61
18,28.07
19,26.72
20,24.37
21,20.13
22,14.24
23,9.69
24,7.6
25,5.42
26,4.1
27,2.79
28,2.22
29,2.87
30,1.48
31,1.29
32,1.4
33,0.87
34,0.96
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,0.14
55,0.34
56,0.18
57,0.33
58,0.88
59,0.63
60,0.39
61,0.94
62,1.17
63,1.85
64,1.73
65,3.76
66,5.91
67,9.39
68,14.76
69,20.3
70,22.07
71,27.32
72,28.29
73,25.51
74,25.23
75,23.38
76,20.59
77,15.62
78,14.31
79,8.26
80,7.92
81,6.45
82,2.63
83,2.53
84,1.73
85,1.12
86,1.13
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,1.07
107,1.06
108,2.24
109,2.64
110,3.91
111,5.75
112,8.07
113,10.56
114,13.71
115,19.11
116,23.33
117,30.96
118,29.37
119,24.97
120,21.3
121,16.73
122,12.68
123,10.66
124,10.15
125,7.47
126,6.37
127,3.71
128,3.42
129,2.7
130,1.76
131,1.23
132,1.26
133,1.7
134,1.9
135,1.44
136,0.94
137,0.21
138,0.23
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,0.07
159,0.27
160,0.24
161,0.83
162,0.81
163,1.99
164,1.97
165,3.5
166,3.91
167,5.67
168,6.9
169,11.69
170,13.87
171,13.37
172,17.8
173,22.11
174,23.22
175,20.93
176,18.99
177,15.43
178,13.94
179,11.46
180,7.2
181,5.91
182,5.78
183,4.38
184,3.27
185,2.23
186,2.58
187,1.28
188,0.59
189,0.52
190,0.68
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,0.69
211,0.35
212,0.54
213,1.07
214,0.76
215,0.71
216,2.19
217,1.61
218,3.08
219,3.56
220,4.6
221,5.8
222,8.39
223,9.74
224,13.85
225,19.74
226,21.37
227,22.8
228,22.79
229,23.86
230,24.91
