,lag,ACF,x_variogram
1,1.0000 ,0.6029 ,1.0000 
2,2.0000 ,0.3966 ,1.5019 
3,3.0000 ,0.5215 ,1.0488 
4,4.0000 ,0.3594 ,1.4374 
5,5.0000 ,0.2328 ,1.7818 
6,6.0000 ,0.2376 ,1.7080 
7,7.0000 ,0.2340 ,1.6467 
8,8.0000 ,0.1895 ,1.6889 
9,9.0000 ,0.1542 ,1.7341 
10,10.0000 ,0.1329 ,1.6765 
11,11.0000 ,0.0909 ,1.7252 
12,12.0000 ,0.0466 ,1.8295 
13,13.0000 ,-0.0146 ,1.9832 
14,14.0000 ,-0.0729 ,2.1342 
15,15.0000 ,-0.0757 ,2.1083 
16,16.0000 ,-0.0892 ,2.1423 
17,17.0000 ,-0.0938 ,2.1571 
18,18.0000 ,-0.0841 ,2.0580 
19,19.0000 ,-0.1188 ,2.0936 
20,20.0000 ,-0.1922 ,2.2982 
21,21.0000 ,-0.2470 ,2.4290 
22,22.0000 ,-0.2226 ,2.2249 
23,23.0000 ,-0.1750 ,1.9917 
24,24.0000 ,-0.1647 ,1.9634 
25,25.0000 ,-0.1510 ,1.8447 
