"","x"
"1",0.8
"2",0.25
"3",0
"4",-8.22387425648264e-17
"5",-7.62688190304909e-17
"6",-3.41138487676318e-17
"7",-1.06910365334274e-16
"8",1.48029736616688e-16
"9",4.11193712824138e-18
"10",1.8503717077086e-17
"11",-7.81268054365851e-17
"12",2.05596856412058e-18
"13",-2.05596856412068e-18
"14",4.93432455388958e-17
"15",1.2335811384724e-17
"16",-2.36436384873876e-17
"17",-1.13078271026636e-17
"18",1.43917799488446e-17
"19",-1.85037170770859e-17
"20",-1.13078271026637e-17
"21",1.43917799488447e-17
"22",2.05596856412066e-18
"23",-1.33637956667843e-17
"24",-7.1958899744223e-18
"25",-4.62592926927151e-18
"26",1.59337563719351e-17
"27",3.59794498721116e-18
"28",-1.5419764230905e-18
"29",3.59794498721117e-18
"30",-9.76585067957315e-18
"31",2.56996070515082e-19
"32",4.88292533978656e-18
"33",5.1399214103017e-19
"34",1.79897249360558e-18
"35",2.82695677566591e-18
"36",-7.06739193916477e-18
"37",7.70988211545245e-19
"38",4.24043516349887e-18
"39",-1.60622544071927e-18
"40",-1.02798428206033e-18
"41",-3.85494105772621e-19
"42",8.9948624680279e-19
"43",-1.79897249360558e-18
"44",-9.63735264431563e-19
"45",2.08809307293505e-18
"46",-9.63735264431539e-20
"47",-3.5336959695824e-19
"48",1.0922332996891e-18
"49",-1.28498035257541e-18
"50",3.21245088143852e-19
